empresa_norm,n_rows,id_pro,nombre,mostrar_listas,id_emp,lugar_por_defecto,id_esp,horas_estimadas,en_ejecucion,facturacion,ocupacion,horas_ejecutadas,fecha_corte,horas_ejecutadas_facturables,tipo_alcance,id_col_responsable,avance_real,avance_estimado
SUNSHINE,1,4997,Sunshine,1,8452,2,2,360.0,1.0,25020.0,Permanente,153.0,2026-03-16 00:00:00,147.5,Por Alcance,0.0,0.0,0.0
SUPERTEL,1,445,BPM,0,753,2,3,0.0,0.0,0.0,Stand by,3.0,2026-03-02 09:50:07,3.0,Por Alcance,0.0,0.0,0.0
TCG GROUP,2,2343,Soporte,1,1186,3,2,44.0,0.0,2200.0,Stand by,63.5,2026-03-02 09:50:07,62.5,Por Alcance,0.0,0.0,0.0
TECNISEGUROS,1,5317,Innovación de Procesos de Planificación,1,2552,2,2,420.0,1.0,24570.0,Esporádico,220.25,2026-03-16 00:00:00,213.75,Por Alcance,0.0,0.0,0.0
TELEFONICA CR,1,2157,Instancia CR,0,3212,2,2,204.0,0.0,0.0,Stand by,20.0,2026-03-02 09:50:07,20.0,Por Alcance,0.0,0.0,0.0
TELEFONICA EC,10,42991,CAPEX,6,6130,20,195,6440.0,6.0,258960.0,Esporádico,4497.0,2026-03-16 00:00:00,4296.0,Por Alcance,375.0,0.0,0.0
TELMEX,1,365,Soporte BI,0,594,2,1,0.0,0.0,0.0,Stand by,0.0,,0.0,Por Alcance,0.0,0.0,0.0
TELNA,1,5377,Telna - Adaptive Implementation,1,8852,2,202,302.0,1.0,20000.0,Permanente,67.5,2026-03-16 00:00:00,63.0,Por Horas,0.0,0.0,0.0
TERNIUM,1,4077,TERNIUM POR FACTURAR,1,5712,2,2,0.0,1.0,0.0,Por Facturar,7.5,2026-03-16 00:00:00,5.0,Por Alcance,0.0,0.0,0.0
TERPEL,1,934,Presupuesto Finaciero,0,1626,2,2,0.0,0.0,0.0,Stand by,0.0,,0.0,Por Alcance,0.0,0.0,0.0
UNACEM,3,11034,Implementación Adaptive,1,7059,6,6,3140.0,1.0,181200.0,Esporádico,923.0,2026-03-02 09:50:07,914.0,Por Alcance,0.0,0.0,0.0
